Date,Open,High,Low,Close,Volume
08/31/2022,"96.66","98.62","94.92","95.41","16,169,040"
08/30/2022,"95.86","96.97","92.62","93.84","17,865,789"
08/29/2022,"98.96","100.91","96.48","96.60","18,323,471"
08/26/2022,"104.84","104.85","97.61","98.00","45,773,441"
08/25/2022,"96.06","101.03","94.95","99.89","39,170,609"
08/24/2022,"87.90","94.15","87.55","92.52","22,808,330"
08/23/2022,"89.17","90.18","86.71","89.83","17,345,881"
08/22/2022,"89.57","90.88","89.30","90.03","15,545,030"
08/19/2022,"90.41","91.65","89.18","89.63","12,364,340"
08/18/2022,"90.05","91.93","88.52","90.74","13,418,560"
08/17/2022,"91.87","92.39","89.76","89.77","14,491,460"
08/16/2022,"92.69","93.57","91.40","92.65","12,003,160"
08/15/2022,"93.20","94.63","92.38","94.20","14,425,110"
08/12/2022,"91.51","94.80","91.43","94.77","17,846,430"
08/11/2022,"94.49","97.71","93.63","94.87","17,521,230"
08/10/2022,"91.17","92.95","88.56","92.43","17,855,369"
08/09/2022,"91.19","93.12","90.60","91.19","16,744,910"
08/08/2022,"91.47","92.75","90.34","90.84","16,194,090"
08/05/2022,"93.07","94.17","90.73","92.56","27,206,131"
08/04/2022,"101.07","103.00","95.06","97.43","42,517,832"
08/03/2022,"92.00","96.30","90.92","95.72","23,921,689"
08/02/2022,"88.20","94.87","88.20","92.62","34,430,520"
08/01/2022,"89.19","90.54","88.00","90.34","36,050,930"
07/29/2022,"94.22","94.22","89.11","89.37","59,201,762"
07/28/2022,"101.92","102.68","95.62","100.55","33,875,398"
07/27/2022,"102.20","102.97","99.80","102.78","19,366,619"
07/26/2022,"104.31","105.25","100.81","101.44","28,004,260"
07/25/2022,"100.50","101.27","98.74","101.06","16,604,301"
07/22/2022,"104.31","104.70","99.68","100.61","18,819,830"
07/21/2022,"104.06","106.61","103.68","105.13","17,865,510"
07/20/2022,"106.24","107.16","102.85","103.96","21,897,869"
07/19/2022,"103.97","104.82","101.53","104.75","19,842,520"
07/18/2022,"105.88","106.96","102.95","103.14","20,503,350"
07/15/2022,"103.49","103.64","97.84","102.44","33,572,301"
07/14/2022,"107.80","108.54","100.71","103.76","35,314,898"
07/13/2022,"106.84","110.64","106.75","109.10","16,861,430"
07/12/2022,"110.86","111.00","107.06","109.21","22,318,510"
